MainDTN,ChE30M,ChERM,ChE30,MDTN_R,ChEBM,MDTN_B,NSCh2pD,NFCh30m,TotCha,geometry,corridor_name
11.39,0.0,1.52,7.61,2.31,6.09,9.08,2.0,2.0,4.0,"POLYGON ((4.076425444521672 49.745406734801755, 3.9589078388749255 49.952705013562124, 4.295879527125702 50.02493846962099, 4.412058804726498 49.817333885126565, 4.076425444521672 49.745406734801755))",D 1043 Corridor (Watigny)
30.5,0.0,15.49,17.66,26.63,2.17,3.87,14.0,1.0,15.0,"POLYGON ((21.48617368139131 45.8955583619936, 21.452807582421556 46.11552671849794, 21.780285799200417 46.13755668452687, 21.8122292625166 45.917501983602826, 21.48617368139131 45.8955583619936))",DN7 Corridor (Arad)
92.9,0.0,9.72,54.6,16.38,44.88,76.52,9.0,4.0,13.0,"POLYGON ((-4.926782275018159 41.40749309626334, -5.060022202842828 41.60810469375356, -4.78883563919215 41.70675391433169, -4.65634512595771 41.505840954571305, -4.926782275018159 41.40749309626334))",Motorway Autovía de Castilla Corridor (Valladolid)
75.84,0.0,13.5,44.21,22.25,30.71,53.59,12.0,3.0,15.0,"POLYGON ((18.673945549594254 49.893226303566585, 18.62422316798819 50.110668886405854, 18.978737006718614 50.140807151706014, 19.026808049328512 49.92322995039923, 18.673945549594254 49.893226303566585))",Wschodnia Obwodnica GOP Highway Corridor (Suszec)
184.57,0.0,9.96,63.02,30.35,53.06,154.22,16.0,7.0,23.0,"POLYGON ((10.307866905786387 55.19489674896006, 10.206898006070967 55.40681090743495, 10.599421135213912 55.46111568845802, 10.698461294285492 55.248914255098676, 10.307866905786387 55.19489674896006))",Fynske Motorvej Highway Corridor (Odense)
1.99,0.0,0.62,1.34,0.94,0.72,1.05,1.0,1.0,2.0,"POLYGON ((14.336753680874683 57.7029512901426, 14.25188119947763 57.91784597116082, 14.675750138004526 57.960557602681, 14.758312204881472 57.745410764328014, 14.336753680874683 57.7029512901426))",Motorway E 4 Corridor (Unknown Area)
155.63,0.0,24.35,83.14,46.97,58.79,108.66,24.0,5.0,29.0,"POLYGON ((14.94569673250722 47.9416570677397, 14.881032371150834 48.157929990951665, 15.218229777760445 48.199125561851744, 15.281425611364623 47.982681876128886, 14.94569673250722 47.9416570677397))",West Autobahn Highway Corridor (Steinakirchen am Forst)
0.21,0.0,0.14,0.14,0.21,0.0,0.0,1.0,1.0,2.0,"POLYGON ((2.963118356457283 47.15410357257736, 2.847126067796552 47.36116232505647, 3.1643553540849547 47.43682947985433, 3.2791775516348403 47.22947846122739, 2.963118356457283 47.15410357257736))",L'Autoroute de l'Arbre Highway Corridor (Garchy)
0.09,0.0,0.05,0.05,0.09,0.0,0.0,1.0,1.0,2.0,"POLYGON ((-7.525502875749291 52.94614776313424, -7.7065653186300445 53.1390117230489, -7.368366894512692 53.24247403124145, -7.188400221319821 53.04915129272216, -7.525502875749291 52.94614776313424))",Portlaoise Bypass Highway Corridor (County Laois)
74.41,0.0,15.09,48.98,22.28,33.89,52.13,12.0,3.0,15.0,"POLYGON ((-0.3203783319605595 46.063051432604624, -0.4473976334362272 46.26699199918194, -0.1424691515336942 46.35196397597034, -0.0164815835001373 46.14771232588163, -0.3203783319605595 46.063051432604624))",L'Aquitaine Highway Corridor (Celles-sur-Belle)
